_surname,converted,ancestry,ancestry_link,forebears,forebears_link
2 gamaleri,True,,https://www.ancestry.com/name-origin?surname=2 gamaleri,,https://forebears.io/surnames/2 gamaleri
a bhojani,True,,https://www.ancestry.com/name-origin?surname=a bhojani,,https://forebears.io/surnames/a bhojani
a,True,,https://www.ancestry.com/name-origin?surname=a,China,https://forebears.io/surnames/a
